Position	Std
0	0.000000
1	0.000000
2	0.000000
3	0.000000
4	0.000000
5	0.000000
6	0.000000
7	0.000000
8	0.000000
9	0.000000
10	0.000000
11	0.000000
12	0.000000
13	0.000000
14	0.000000
15	0.000000
16	0.000000
17	0.000000
18	0.000000
19	0.000000
20	0.000000
21	0.000000
22	0.000000
23	0.000000
24	0.000000
25	0.000000
26	0.000000
27	0.000000
28	0.000000
29	0.000000
30	0.000000
31	0.000000
32	0.000000
33	0.000000
34	0.000000
35	0.000000
36	0.000000
37	0.000000
38	0.000000
39	0.000000
40	0.000000
41	0.000000
42	0.000000
43	0.000000
44	9.972411
45	0.000000
46	8.187037
47	0.000000
48	0.000000
49	0.000000
50	0.000000
51	0.000000
52	0.000000
53	0.000000
54	0.000000
55	0.000000
56	0.000000
57	0.000000
58	0.000000
59	0.000000
60	0.000000
61	0.000000
62	0.000000
63	0.000000
64	0.000000
65	18.239090
66	40.675659
67	0.323295
68	0.126947
69	0.131112
70	0.138098
71	0.244352
72	0.140042
73	0.126866
74	0.238002
75	0.115551
76	0.072414
77	0.134352
78	0.119272
79	0.147806
80	0.130041
81	0.108898
82	0.131173
83	0.144641
84	0.132941
85	0.083960
86	0.158136
87	0.100295
88	0.081835
89	0.145943
90	0.109825
91	0.098042
92	0.111599
93	0.102220
94	0.080314
95	0.117006
96	0.140328
97	0.109535
98	0.133431
99	0.077194
100	0.081332
101	0.135097
102	0.132705
103	0.092777
104	0.084876
105	0.088102
106	0.149120
107	0.092601
108	0.148065
109	0.113316
110	0.152114
111	0.111395
112	0.074782
113	0.107766
114	0.100523
115	0.068829
116	0.124003
117	0.085164
118	0.108559
119	0.090377
120	0.112104
121	0.063104
122	0.096811
123	0.085946
124	0.106747
125	0.142349
126	0.100377
127	0.066732
128	0.131963
129	0.115844
130	0.125819
131	0.101565
132	0.070321
133	0.108233
134	0.108285
135	0.117152
136	0.063974
137	0.130182
138	0.052354
139	0.093608
140	0.084756
141	0.096252
142	0.072948
143	0.136675
144	0.082257
145	0.079771
146	0.110571
147	0.099339
148	0.074673
149	0.103577
150	0.065720
151	0.064246
152	0.095303
153	0.078783
154	0.067348
155	0.092301
156	0.090834
157	0.083296
158	0.096702
159	0.075366
160	0.076068
161	0.098280
162	0.094822
163	0.060718
164	0.108828
165	0.086117
166	0.081500
167	0.110858
168	0.078525
169	0.081351
170	0.103567
171	0.100964
172	0.081965
173	0.079068
174	0.072065
175	0.071262
176	0.073330
177	0.063027
178	0.063883
179	0.103457
180	0.102516
181	0.106409
182	0.112717
183	0.098378
184	0.075457
185	0.105185
186	0.061614
187	0.103457
188	0.118111
189	0.067577
190	0.092418
191	0.099461
192	0.112859
193	0.081496
194	0.108170
195	0.171336
196	0.095515
197	0.103861
198	0.104406
199	0.070784
200	0.092323
201	0.110349
202	0.100250
203	0.079822
204	0.083616
205	0.067759
206	0.108327
207	0.086458
208	0.068637
209	0.100716
210	0.085082
211	0.079677
212	0.095701
213	0.086425
214	0.100909
